From	To
P21399	NP_001265281.1
P21399	NP_002188.1
P21399	XP_005251533.1
P21399	XP_011516190.1
A6NK06	NP_001245335.1
Q8WXI4	NP_056362.1
Q8WXI4	NP_671517.1
Q8WYK0	NP_570123.1
Q9NPJ3	NP_001153566.1
Q9NPJ3	NP_060943.1
P49753	NP_006812.3
Q8N9L9	NP_689544.3
Q99424	NP_003491.1
Q99424	XP_005265562.1
O15254	NP_001095137.1
O15254	NP_003492.2
O15254	XP_005248068.1
O15254	XP_005248070.1
O15254	XP_011511867.1
Q9NUZ1	NP_001136279.1
Q9NUZ1	XP_011509718.1
Q9NUZ1	XP_011509721.1
P15309	NP_001090.2
P15309	NP_001127666.1
P15309	NP_001278966.1
Q9BZG2	NP_149059.1
A0A140VJD6	NP_115878.2
P26436	NP_001603.1
P26436	NP_064454.1
P26436	NP_064492.1
P26436	NP_064493.1
Q4G176	NP_001120686.1
Q4G176	NP_001230208.1
Q4G176	NP_777577.2
O60488	NP_001305438.1
O60488	NP_001305439.1
O60488	NP_004449.1
O60488	NP_075266.1
O60488	XP_005262166.1
O60488	XP_006724698.1
O60488	XP_011529190.1
O60488	XP_011529191.1
Q08AH1	NP_001305819.1
Q08AH1	NP_443188.2
Q08AH3	NP_001295101.1
Q08AH3	NP_001295883.1
Q08AH3	XP_016878412.1
P0C7M7	NP_001073923.1
Q6NUN0	NP_001311300.1
Q6NUN0	NP_001311302.1
Q6NUN0	NP_060358.2
P68133	NP_001091.1
P62736	NP_001135417.1
P62736	NP_001307784.1
P62736	NP_001604.1
Q562R1	NP_001017992.1
P63267	NP_001186822.1
P63267	NP_001606.1
Q5JWF8	NP_001019846.1
O96019	NP_004292.1
O96019	NP_817126.1
O96019	NP_829888.1
O94805	NP_057272.1
Q9Y615	NP_006678.1
Q9H568	NP_110439.2
Q9H568	XP_011540514.1
Q8TC94	NP_848620.3
A0A0S2Z3G9	NP_004915.2
P42025	NP_005726.1
Q9P1U1	NP_001035225.1
Q9P1U1	NP_065178.1
Q9H9F9	NP_079131.3
Q8TDG2	NP_612146.1
Q8TDY3	NP_536356.3
Q9BYD9	NP_115876.3
P36896	NP_004293.1
P36896	NP_064732.3
P36896	NP_064733.3
Q8NER5	NP_001104501.1
Q8NER5	NP_001104502.1
Q8NER5	NP_001104503.1
Q8NER5	NP_660302.2
P27037	NP_001265508.1
P27037	NP_001265509.1
P27037	NP_001607.1
Q13705	NP_001097.2
U3KQL2	NP_001307515.1
Q96M93	NP_001152757.1
Q96M93	NP_001152767.1
Q96M93	NP_640336.1
Q96M93	XP_005262798.1
Q96M93	XP_005262800.1
Q96M93	XP_005262801.1
Q96M93	XP_011529905.1
Q8NCV1	NP_001138872.1
Q8NCV1	NP_631913.3
Q5JRP2	NP_001275902.1
Q13444	NP_001248393.1
Q13444	NP_001248394.1
Q13444	NP_001248395.1
Q13444	NP_003806.3
Q13444	NP_997074.1
Q13444	NP_997077.1
Q13444	NP_997078.1
Q13444	NP_997079.1
Q13444	NP_997080.1
Q0VAI3	NP_001307242.1
Q9H013	NP_150377.1
Q9H013	XP_005266060.1
B4DWY7	NP_001265043.1
O43506	NP_003805.3
O43506	XP_005268208.1
Q9UKJ8	NP_003804.2
Q9UKF2	NP_068566.2
O15204	NP_001138743.1
O15204	NP_001138744.1
O15204	NP_055294.1
Q9UHI8	NP_008919.3
Q8WXS8	NP_542453.2
Q8WXS8	NP_631894.2
Q8TE58	NP_620686.1
Q8TE56	NP_620688.2
Q8TE56	XP_016877473.1
Q8TE59	NP_598377.4
O95450	NP_055059.2
O95450	NP_067610.1
Q96AY5	NP_055058.2
Q5IR90	NP_922932.2
Q9UKP4	NP_055087.2
Q5FWF1	NP_008968.4
Q9P2N4	NP_001305710.1
Q9P2N4	NP_891550.1
B1B0D4	XP_005272294.1
P82987	NP_001288039.1
P82987	NP_997400.2
A0A669KBE7	NP_001275536.1
O75689	NP_001271237.1
O75689	NP_001271238.1
O75689	NP_001271239.1
O75689	NP_001271240.1
O75689	NP_006860.1
P78563	NP_001103.1
P78563	NP_001153702.1
P78563	NP_001333616.1
P78563	NP_001333617.1
P78563	NP_056648.1
P78563	NP_056649.1
P78563	XP_016883736.1
P78563	XP_016883737.1
P78563	XP_016883738.1
P78563	XP_016883739.1
P78563	XP_016883740.1
P78563	XP_016883743.1
P78563	XP_016883744.1
Q9NS39	NP_061172.1
Q9BUB4	NP_001311373.1
Q9BUB4	NP_001311374.1
Q9BUB4	NP_001311375.1
Q9BUB4	NP_036223.2
Q7Z6V5	NP_001273188.1
Q7Z6V5	NP_872309.2
Q7Z6V5	XP_011533742.1
Q7Z6V5	XP_011533746.1
Q7Z6V5	XP_016865749.1
Q7Z6V5	XP_016865750.1
Q7Z6V5	XP_016865751.1
Q96EY9	NP_001316462.1
Q96EY9	NP_612431.2
Q3MIX3	NP_777582.4
Q96PN6	NP_001161221.1
Q96PN6	NP_001284701.1
Q96PN6	NP_060887.2
Q96PN6	XP_011508062.1
B3KWA8	XP_006713546.1
P51828	NP_001105.1
P51828	XP_016878384.1
Q4F7X0	NP_001106.1
P18509	NP_001093203.1
P18509	NP_001108.2
Q05DK5	NP_001171983.1
Q05DK5	NP_001171984.1
Q05DK5	NP_001608.1
Q9UEY8	NP_001112.2
Q9UEY8	NP_001307520.1
Q9UEY8	NP_001307521.1
Q9UEY8	NP_001307522.1
Q9UEY8	NP_001307523.1
Q9UEY8	NP_058432.1
Q9UEY8	NP_063968.1
Q86SQ6	NP_001077378.1
Q86SQ6	NP_001278014.1
Q86SQ6	XP_005252752.1
Q9UHX3	NP_001257981.1
Q9UHX3	NP_038475.2
E7EW83	NP_001276088.1
P48960	NP_001020331.1
P48960	NP_001775.2
P48960	NP_510966.1
P48960	XP_016883036.1
Q5T601	NP_079324.2
Q5T601	NP_722582.2
Q8IZF7	NP_722581.4
Q8IZF5	NP_001138640.1
Q8IZF5	NP_001138641.1
Q8IZF5	NP_001308900.1
Q8IZF5	NP_001308904.1
Q8IZF5	NP_722577.2
Q8IZF3	NP_001334784.1
Q8IZF3	NP_722580.3
Q8IZF2	NP_001091988.1
Q8IZF2	NP_056049.4
Q8IZP9	NP_001073327.1
Q8IZP9	NP_001073328.1
Q8IZP9	NP_001073329.1
Q8IZP9	NP_001171762.1
Q8IZP9	NP_001171763.1
Q8IZP9	NP_001171764.1
Q8IZP9	NP_001171765.1
Q8IZP9	NP_001171766.1
Q8IZP9	NP_005747.2
Q8IZP9	XP_006724518.1
Q8IZP9	XP_011543736.1
Q8IZP9	XP_011543737.1
Q8IZF6	NP_722576.3
Q8IZF6	XP_011529571.1
Q8IZF4	NP_001291305.1
Q8IZF4	NP_001305410.1
Q8IZF4	NP_722579.1
Q8IZF4	XP_011521251.1
Q8IZF4	XP_011521252.1
Q96K78	NP_116176.2
O94910	NP_001008701.1
O94910	NP_055736.2
P07327	NP_000658.1
P00325	NP_000659.2
P00325	NP_001273579.1
Q0VDE8	NP_001018092.1
A8K660	NP_001171271.1
A8K660	NP_004788.1
Q86V24	NP_078827.2
Q86V24	XP_005253846.1
Q86V24	XP_006719081.1
Q86V24	XP_011519326.1
Q15847	NP_006820.1
A0A5F9ZH31	XP_016871189.1
P35318	NP_001115.1
Q7Z4H4	NP_001240774.1
Q7Z4H4	XP_016884429.1
C9JUS6	NP_001094810.1
Q96SZ5	NP_116193.2
P29275	NP_000667.1
A0A0J9YWR0	NP_001289607.1
Q9BRR6	NP_112574.3
Q9BRR6	XP_006720775.1
P54922	NP_001116.1
P54922	NP_001278878.1
P54922	NP_001278879.1
P54922	XP_011510740.1
A0A804HI13	NP_001291362.1
A0A804HI13	XP_005268394.1
A0A804HI13	XP_011535763.1
Q3LIE5	NP_064618.3
Q9NX46	NP_060295.1
P35348	NP_000671.2
P35348	NP_001309431.1
P35348	NP_001309432.1
P35348	NP_001309433.1
P35348	NP_150645.2
P35348	NP_150646.3
P35348	NP_150647.2
P35348	XP_006716356.1
P35348	XP_011542713.1
B0ZBE0	NP_000669.1
P08913	NP_000672.3
P18825	NP_000674.2
P08588	NP_000675.1
P07550	NP_000015.1
Q16186	NP_001268366.1
Q16186	NP_001268367.1
Q16186	NP_008933.2
Q16186	NP_783163.1
Q16186	XP_005260314.1
A0A1B0GTG9	XP_011528282.1
Q8N142	NP_001307353.1
Q8N142	NP_689541.1
Q8N142	NP_954634.1
Q8TED9	NP_001139809.1
Q8TED9	NP_001309991.1
Q8TED9	NP_001309992.1
Q8TED9	NP_689619.1
Q8N4X5	NP_001001936.1
Q8N4X5	NP_001274753.1
Q8N4X5	NP_115939.1
P51816	NP_001162593.1
P51816	NP_001162594.1
P51816	NP_001162595.1
P51816	NP_001162596.1
P51816	NP_001164099.1
P51816	NP_002016.2
P43652	NP_001124.1
P02771	NP_001125.1
A0A0U1RRF1	XP_006712297.1
Q8TF27	NP_597704.1
Q99490	NP_001116244.1
Q99490	NP_055585.1
A0A087X0Z1	NP_001263272.2
Q5VTM2	NP_001177739.1
Q96MI9	NP_689549.3
Q8NEM8	NP_848658.3
Q8NEM8	XP_016867625.1
Q8NEM8	XP_016867626.1
O95081	NP_006067.3
P35573	NP_000019.2
P35573	NP_000633.2
P35573	NP_000634.2
P35573	NP_000635.2
P35573	NP_000637.2
P35573	XP_005270614.1
Q9BSE5	NP_079034.3
Q5TA58	NP_001304052.1
Q9UKV8	NP_001158095.1
Q9UKV8	NP_036286.2
Q9HCK5	NP_060099.2
Q99943	NP_006402.1
Q99943	NP_116130.2
Q99943	XP_005248863.1
Q99943	XP_011512536.1
O15120	NP_001012745.1
O15120	NP_006403.2
Q8TD06	NP_789783.1
Q8TD06	XP_005249684.1
O00468	NP_001292204.1
O00468	NP_940978.2
O00468	XP_005244806.1
C6SUN5	NP_001129.1
Q9UPW5	NP_001273644.1
Q9UPW5	NP_001273646.1
Q9UPW5	NP_001317630.1
Q9UPW5	NP_056054.2
Q9UPW5	XP_005251905.1
Q9UPW5	XP_016870033.1
Q9UPW5	XP_016870035.1
P30556	NP_000676.1
P30556	NP_004826.5
P30556	NP_033611.1
P30556	NP_114038.4
P30556	NP_114438.2
P50052	NP_000677.2
P50052	XP_011535835.1
P21549	NP_000021.1
Q1RMG2	XP_016883199.1
A0A024R0A8	NP_006612.2
Q5TGY3	NP_001025053.1
Q5TGY3	XP_005245905.1
Q5TGY3	XP_005245906.1
Q5TGY3	XP_005245907.1
Q5TGY3	XP_005245908.1
Q5TGY3	XP_005245909.1
Q5TGY3	XP_011539557.1
Q5TGY3	XP_011539558.1
Q5TGY3	XP_011539559.1
Q8IVF2	NP_612429.2
Q8IVF2	XP_005267356.1
Q719I0	NP_001308229.1
Q719I0	NP_689605.1
Q9NZD4	NP_001305150.1
Q9NZD4	NP_001305151.1
Q9NZD4	NP_057717.1
Q9GZX7	NP_001317272.1
Q9GZX7	NP_065712.1
Q96BJ3	NP_073742.2
P55008	NP_001305899.1
P55008	NP_001614.3
P55008	NP_116573.1
P55008	XP_016865821.1
Q9BRQ8	NP_001185625.1
Q9BRQ8	NP_116186.1
Q96NN9	NP_001018070.1
Q96NN9	NP_001139760.1
Q96NN9	NP_653305.1
Q9NVV5	NP_001273516.1
Q9NVV5	NP_001273517.1
Q9NVV5	NP_001273518.1
Q9NVV5	NP_057192.2
Q13155	NP_001313536.1
Q13155	NP_006294.2
Q7Z3H1	NP_001272328.1
O43918	NP_000374.1
C9J069	NP_001073951.2
P00568	NP_000467.1
P00568	NP_001305050.1
P00568	XP_016869916.1
P00568	XP_016869917.1
F8VS11	NP_001317545.1
F8VS11	XP_016856102.1
Q96M32	NP_689540.2
Q96MA6	NP_001304887.1
Q96MA6	NP_001304888.1
Q96MA6	NP_689785.1
J3KS16	NP_001317482.1
Q9UKA4	NP_057332.1
Q9UKA4	XP_011533205.1
Q9UKA4	XP_011533206.1
Q9UKA4	XP_011533207.1
Q9UKA4	XP_011533208.1
Q9UKA4	XP_016875870.1
Q86UN6	NP_001008534.1
Q86UN6	NP_001008535.1
Q86UN6	NP_848928.1
P24588	NP_004848.3
Q2TAJ5	NP_004833.1
Q2TAJ5	NP_057461.2
Q2TAJ5	NP_619539.1
Q53H80	NP_060534.1
Q7Z591	NP_001304879.1
Q7Z591	NP_001304881.1
Q7Z591	NP_110394.3
Q7Z591	XP_005252301.1
Q7Z591	XP_005252302.1
Q7Z591	XP_005252304.1
Q7Z591	XP_006717357.1
Q7Z591	XP_006717358.1
Q7Z591	XP_011517365.1
Q7Z591	XP_011517367.2
Q7Z591	XP_016870661.1
P15121	NP_001619.1
O60218	NP_064695.3
C9JRZ8	NP_001074007.2
C9JRZ8	XP_011514543.2
C9JRZ8	XP_016867713.1
Q04828	NP_001344.2
B4DK69	NP_001307956.1
P42330	NP_001240837.1
P42330	NP_003730.4
P17516	NP_001809.3
O95154	NP_036199.2
Q8NHP1	NP_001335350.1
A0A7P0TBJ6	XP_006711789.1
P13716	NP_000022.3
P13716	NP_001003945.1
P13716	XP_011516666.1
P13196	NP_000679.1
P13196	NP_001291372.1
P13196	NP_001291373.1
P13196	NP_954635.1
Q8TES7	NP_001306122.1
Q13740	NP_001230209.1
Q13740	NP_001230212.1
Q13740	NP_001618.2
P00352	NP_000680.2
P30837	NP_000683.3
P30837	XP_011516104.1
O75891	NP_001257293.1
O75891	NP_001257294.1
O75891	NP_036322.2
O75891	XP_006713544.1
O75891	XP_011510657.1
P30038	NP_001154976.1
P30038	NP_001306147.1
P30038	NP_003739.2
P30038	NP_733844.1
Q9H2A2	NP_001180409.1
Q9H2A2	NP_072090.1
Q9H2A2	NP_739577.1
P49189	NP_000687.3
P49189	XP_011507596.1
P09972	NP_005156.1
P09972	XP_005258006.1
P09972	XP_011522858.1
Q5BKT4	NP_116223.3
Q96F25	NP_001292171.1
Q96F25	NP_659425.1
C9J202	NP_001129624.1
Q9H553	NP_149078.1
C9J7S5	XP_011510625.1
E9PR58	XP_011543554.1
Q6UXT8	NP_997296.1
Q6UX46	NP_001002919.2
Q6UX46	XP_005264746.1
Q13686	NP_006011.2
Q9NXW9	NP_060091.1
Q9NXW9	XP_005250521.1
Q6P6C2	NP_060228.3
Q8N6M5	NP_060906.3
P18054	NP_000688.2
P16050	NP_001131.3
A0A087WW23	NP_001191335.1
P10696	NP_112603.2
P09923	NP_001622.2
Q86TB3	NP_443179.3
Q96L96	NP_065829.3
P05186	NP_000469.3
P05186	NP_001120973.2
P05186	NP_001170991.1
P05186	XP_005245875.1
P05186	XP_006710609.1
P05187	NP_001623.3
Q60I27	NP_001177636.1
Q60I27	NP_667340.2
Q60I27	XP_005265082.1
Q15699	NP_008913.2
Q9H161	NP_068745.2
Q86V81	NP_005773.3
Q9UHK6	NP_001161067.1
Q9UHK6	NP_055139.4
Q9UHK6	NP_976316.1
Q9NP70	NP_057603.1
P17707	NP_001625.2
Q96NU7	NP_689648.2
Q9Y303	NP_001139287.1
Q9Y303	NP_001317378.1
Q9Y303	NP_057028.2
Q99217	NP_001133.1
Q99217	NP_872621.1
Q99217	NP_872622.1
Q99218	NP_001134.1
Q99218	XP_016885531.1
Q5JTC6	NP_689637.3
Q8N7J2	NP_689917.2
Q8N7J2	NP_954589.1
Q8N7J2	XP_005266336.1
Q8N7J2	XP_005266337.1
Q8N7J2	XP_016875904.1
Q8N944	NP_001098663.1
Q8N944	NP_001098664.1
Q8N944	NP_001098665.1
Q8N944	NP_689911.2
Q8N944	XP_011509095.1
Q16671	NP_001158162.1
Q16671	NP_001158163.1
Q16671	NP_065434.1
Q86WK6	NP_065754.2
Q86WK6	XP_011540114.1
Q86SJ2	NP_001137140.1
Q86SJ2	NP_862830.1
Q86SJ2	XP_005268894.1
Q9Y4X0	NP_001020751.1
Q9Y4X0	NP_001165160.1
Q9Y4X0	NP_056180.1
A0A7P0T9C2	XP_005263864.1
Q4VCS5	NP_001106962.1
Q4VCS5	NP_573572.1
Q4VCS5	XP_005262144.1
Q4VCS5	XP_005262147.1
Q4VCS5	XP_011529177.1
Q4VCS5	XP_016884778.1
Q8IY63	NP_001287936.1
Q8IY63	NP_570899.1
Q6UX39	NP_001273660.1
Q6UX39	NP_997722.1
P0DUB6	NP_001008219.1
P0DUB6	NP_001008220.1
P0DUB6	NP_001008222.1
P0DUB6	NP_001333709.1
P0DUB6	NP_004029.2
P0DUB6	XP_011539564.1
P0DUB6	XP_016856547.1
P0DTE7	NP_001008219.1
P0DTE7	NP_001008220.1
P0DTE7	NP_001008222.1
P0DTE7	NP_001333709.1
P0DTE7	NP_004029.2
P0DTE7	XP_011539564.1
P0DTE7	XP_016856547.1
P04746	NP_000690.1
A4D202	NP_001271284.1
A4D202	NP_001308695.1
A4D202	NP_597720.1
A4D202	XP_011513452.1
Q9H1A4	NP_073153.1
Q9UM13	NP_001243635.1
Q9UM13	NP_001243636.1
Q9UM13	NP_001243637.1
Q9UM13	NP_001243638.1
Q9UM13	NP_001243639.1
Q9UM13	NP_001305296.1
Q9UM13	NP_055700.2
Q9UM13	XP_011529826.1
Q9BS18	NP_001229303.1
Q9BS18	NP_001229304.1
Q9BS18	NP_056206.1
P60006	NP_001265414.1
P60006	NP_001265415.1
P60006	NP_001265416.1
P60006	NP_001265417.1
P60006	NP_001265418.1
P60006	NP_001265419.1
P60006	NP_001265420.1
P60006	NP_001265421.1
P60006	NP_001265422.1
P60006	NP_001265423.1
P60006	NP_054761.1
P60006	XP_016872985.1
P60006	XP_016872986.1
Q96DE5	NP_001229475.1
Q96DE5	NP_001229476.1
Q96DE5	NP_775744.1
Q9UJX6	NP_037498.1
P03950	NP_001091046.1
P03950	NP_001136.1
Q96AL9	NP_653168.2
B4DTQ9	NP_001300980.1
O15123	NP_001112359.1
O15123	NP_001112360.1
O15123	NP_001138.1
Q9Y264	NP_001309738.1
Q9Y264	NP_057069.1
O95841	NP_004664.1
O95841	XP_005245634.1
Q9UKU9	NP_036230.1
Q9Y5C1	NP_055310.1
Q86XS5	NP_835228.2
Q8NI99	NP_001308340.1
Q8NI99	NP_114123.2
Q8NI99	XP_011526649.1
Q8NI99	XP_011526652.1
Q8NI99	XP_016882836.1
O43827	NP_066969.1
Q9NU02	NP_001290401.1
Q9NU02	NP_071379.3
Q9NU02	NP_942093.1
H3BM45	XP_011522730.1
Q86XL3	NP_055929.1
Q86XL3	XP_011533089.1
Q86XL3	XP_011533090.1
J3KQ21	NP_001269700.1
J3KQ21	XP_016859772.1
Q8IV38	NP_064715.1
Q9H9E1	NP_075526.1
A0A384NYH5	NP_055206.2
Q8IZ07	NP_149112.1
Q8N6S4	NP_110443.3
Q6P6B7	NP_001009941.1
Q6P6B7	NP_001009943.1
Q6P6B7	NP_061919.1
A0A0A0MRN9	NP_001333722.1
Q5VYY1	NP_653191.2
Q86SG2	NP_659431.5
Q8TF21	NP_597732.1
O15084	NP_001182027.1
O15084	NP_001182028.1
O15084	NP_056014.2
O15084	XP_005265053.1
O15084	XP_011531842.1
O15084	XP_016861515.1
O15084	XP_016861516.1
A0A8I5KW82	XP_011523964.1
D6RJB7	XP_011541601.1
Q7Z3H0	NP_001123487.1
Q7Z3H0	NP_001291388.1
Q7Z3H0	NP_872414.3
A6NCL7	NP_001157912.1
A5PLL1	NP_001004441.2
A5PLL1	XP_006714662.1
A5PLL1	XP_011541668.1
A5PLL1	XP_011541671.1
P0C6C1	NP_001139813.1
Q8N283	NP_653299.4
Q7Z713	NP_859077.1
Q53RE8	NP_057550.3
Q6AI12	NP_443087.1
Q8N8A2	NP_001182073.1
Q8N8A2	NP_710181.2
Q8N8A2	XP_005247005.1
Q5TZF3	NP_940895.1
Q5TZF3	XP_011507768.1
Q5TZF3	XP_011507769.1
Q5TZF3	XP_011507770.1
Q5TZF3	XP_011507772.1
Q9BZ19	NP_001291298.1
A6NGH8	NP_001258629.1
C9JTQ0	NP_001177408.1
E5RJM6	NP_001138682.1
E5RJM6	NP_001230464.1
E5RJM6	NP_001230465.1
E5RJM6	XP_005244809.1
E5RJM6	XP_006710710.1
E5RJM6	XP_011539791.1
E5RJM6	XP_016856813.1
E5RJM6	XP_016856814.1
E5RJM6	XP_016856815.1
Q96BM1	NP_001335580.1
Q96BM1	NP_001335581.1
Q96BM1	NP_689539.1
Q96BM1	XP_005267367.1
Q86W77	NP_001295018.1
Q8N8V4	NP_665872.2
A6NFN9	NP_001138432.1
A6NFN9	NP_001302435.1
Q9NQW6	NP_001271230.1
Q9NQW6	NP_001271231.1
Q9NQW6	NP_061155.2
Q9NW15	NP_001191760.1
Q9NW15	NP_001191761.1
Q9NW15	NP_001191762.1
Q9NW15	NP_001191763.1
Q9NW15	NP_001333392.1
Q9NW15	NP_001333393.1
Q9NW15	NP_001333394.1
Q9NW15	NP_001333395.1
Q9NW15	NP_001333396.1
Q9NW15	NP_001333397.1
Q9NW15	NP_001333398.1
Q9NW15	NP_060545.3
Q9NW15	XP_016862211.1
F1T0L7	NP_001265525.1
Q9HCE9	NP_066010.1
Q9HCE9	XP_016882537.1
A1A5B4	NP_001012302.2
A1A5B4	XP_011518355.1
P23352	NP_000207.2
Q92688	NP_006392.1
O95626	NP_036536.2
A0A2U7XUX1	NP_001265617.1
Q9UJ72	NP_009124.2
Q3ZCQ2	NP_001014301.1
P20073	NP_001147.1
P20073	NP_004025.1
P20073	XP_016871651.1
P20073	XP_016871652.1
A0A087WTN9	NP_001258631.1
O76027	NP_003559.2
O75106	NP_001149.2
O75106	NP_033720.2
Q10567	NP_001118.3
Q10567	NP_001159491.1
Q10567	NP_663782.2
Q9Y6Q5	NP_001287816.1
Q9Y6Q5	NP_005489.2
Q549M9	NP_003907.3
O95782	NP_055018.2
O95782	NP_570603.2
Q9Y2T2	NP_001307192.1
Q9Y2T2	NP_001307193.1
Q9Y2T2	NP_036227.1
Q9Y2T2	NP_996895.1
Q92572	NP_001002924.2
Q92572	NP_001275.1
Q92572	NP_001305019.1
Q92572	NP_001305020.1
Q92572	NP_001305022.1
Q92572	NP_001305023.1
C9JC87	XP_005250746.1
C9JC87	XP_011514987.1
Q2VPB7	NP_612377.4
Q9NUS5	NP_001191375.1
Q9NUS5	NP_001191376.1
Q9NUS5	NP_060817.1
O96018	NP_004877.1
O95704	NP_006042.3
O95704	NP_573418.2
O95704	NP_573419.2
O95704	NP_573420.2
Q8J025	NP_694545.1
V9HWP0	NP_001630.1
P0DMC3	NP_001284479.1
P0DMC3	XP_016863112.1
E5KN95	NP_055296.2
Q96BI3	NP_001071096.1
Q96BI3	NP_001230700.1
Q96BI3	NP_001230701.1
Q96BI3	NP_057106.2
Q96GX9	NP_057041.2
Q9ULZ1	NP_059109.3
P35414	NP_005152.1
Q9HDC9	NP_065392.1
Q9HDC9	XP_005260820.1
P06727	NP_000473.2
Q9Y235	NP_006780.1
P31941	NP_001180218.1
P31941	NP_663745.1
Q8IUX4	NP_001006667.1
Q8IUX4	NP_660341.2
Q8IUX4	XP_016884132.1
A0A087WZI3	NP_001159476.2
Q8WW27	NP_982279.1
Q0VD83	NP_061160.3
A3KPE2	NP_000031.1
P02649	NP_000032.1
P02649	NP_001289617.1
P02649	NP_001289618.1
P02649	NP_001289619.1
P02649	NP_001289620.1
Q13790	NP_001629.1
B1AH95	NP_663318.1
Q9BQE5	NP_112092.2
Q9BQE5	NP_663612.2
Q9BQE5	XP_011528376.1
Q9BQE5	XP_011528377.1
Q9BQE5	XP_011528378.1
Q9BQE5	XP_011528379.1
Q9BQE5	XP_011528380.1
B3KTP4	NP_085144.1
B3KTP4	XP_011528694.1
Q96LR9	NP_001123887.1
Q96LR9	NP_110444.3
O95445	NP_001243098.1
O95445	NP_061974.2
Q6UXV4	NP_940852.3
A0A0A0MRG2	NP_001129603.1
Q06481	NP_001135748.1
Q06481	NP_001135749.1
Q06481	NP_001135750.1
Q06481	NP_001230228.1
Q06481	NP_001633.1
Q7Z2E3	NP_001182177.1
Q7Z2E3	NP_001182178.1
Q7Z2E3	NP_001182179.1
Q7Z2E3	NP_001182180.1
Q7Z2E3	NP_001182181.1
Q7Z2E3	NP_001182183.1
Q7Z2E3	NP_778239.1
Q7Z2E3	NP_778243.1
Q7Z2E3	XP_006716854.1
Q7Z2E3	XP_006716855.1
